BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,LAND SQUARE FEET,YEAR BUILT,LOT,SALE PRICE
Manhattan,0,0,,,1940,12,653000.0
Manhattan,0,0,,,1940,12,1250000.0
Manhattan,0,0,,,1940,12,1075000.0
Manhattan,0,0,,,1940,12,590000.0
Manhattan,0,0,,,1940,12,1535000.0
Manhattan,0,0,,,1940,12,975000.0
Manhattan,0,0,,,1898,22,1950000.0
Manhattan,0,0,,,1898,22,3850000.0
Manhattan,0,0,,,1939,22,905000.0
Manhattan,0,0,,,1939,22,900000.0
Manhattan,0,0,,,1939,22,890000.0
Manhattan,0,0,,,1939,22,520000.0
Manhattan,0,0,,,1939,22,810000.0
Manhattan,0,0,,,1926,17,1600000.0
Manhattan,0,0,,,1926,17,2495000.0
Manhattan,0,0,,,1926,17,3051000.0
Manhattan,0,0,,,1963,1,1700000.0
Manhattan,0,0,,,1963,1,1650000.0
Manhattan,0,0,,,1963,1,867500.0
Manhattan,0,0,,,1963,1,737500.0
Manhattan,0,0,,,1963,1,540000.0
Manhattan,0,0,,,1963,1,1111000.0
Manhattan,0,0,,,1963,1,981000.0
Manhattan,0,0,,,1963,1,1650000.0
Manhattan,0,0,,,1963,1,1950000.0
Manhattan,0,0,,,1963,1,1390000.0
Manhattan,0,0,,,1963,1,630000.0
Manhattan,0,0,,,1963,1,708000.0
Manhattan,0,0,,,1963,1,865000.0
Manhattan,0,0,,,1963,1,1275000.0
Manhattan,0,0,,,1963,1,615000.0
Manhattan,0,0,,,1920,40,939000.0
Manhattan,0,0,,,1920,40,545000.0
Manhattan,0,0,,,1920,40,560000.0
Manhattan,0,0,,,1910,66,527500.0
Manhattan,0,0,,,1938,1,1970000.0
Manhattan,0,0,,,1938,1,1450000.0
Manhattan,0,0,,,1938,1,1850000.0
Manhattan,0,0,,,1940,9,5000000.0
Manhattan,0,0,,,1940,9,1753000.0
Manhattan,0,0,,,1927,62,949000.0
Manhattan,0,0,,,1900,33,2075000.0
Manhattan,0,0,,,1900,33,6000000.0
Manhattan,0,0,,,1938,1,615000.0
Manhattan,0,0,,,1938,1,675000.0
Manhattan,0,0,,,1938,1,615000.0
Manhattan,0,0,,,1938,7,818750.0
Manhattan,0,0,,,1938,7,445000.0
Manhattan,0,0,,,1938,7,550000.0
Manhattan,0,0,,,1938,7,950000.0
Manhattan,0,0,,,1909,13,2275000.0
Manhattan,0,0,,,1950,76,900000.0
Manhattan,0,0,,,1950,76,839000.0
Manhattan,0,0,,,1950,76,839000.0
Manhattan,0,0,,,1909,17,1810000.0
Manhattan,0,0,,,1909,26,4815000.0
Manhattan,0,0,,,1958,35,433000.0
Manhattan,0,0,,,1905,30,1770000.0
Manhattan,0,0,,,1905,30,1645000.0
Manhattan,0,0,,,1905,30,1700000.0
Manhattan,0,0,,,1910,31,2000000.0
Manhattan,0,0,,,1904,35,997500.0
Manhattan,0,0,,,1904,35,210000.0
Manhattan,0,0,,,1907,52,2560000.0
Manhattan,0,0,,,1907,52,2650000.0
Manhattan,1,0,,,1930,1008,1150000.0
Manhattan,1,0,,,1930,1105,826000.0
Manhattan,1,0,,,2007,1002,2560000.0
Manhattan,1,0,,,2007,1008,2815000.0
Manhattan,1,0,,,2007,1012,3699000.0
Manhattan,1,0,,,2007,1014,3020000.0
Manhattan,1,0,,,2007,1028,2600000.0
Manhattan,1,0,,,2007,1050,7950000.0
Manhattan,1,0,,,2013,1108,3210237.0
Manhattan,1,0,,,2013,1112,5875000.0
Manhattan,1,0,,,2013,1112,44105000.0
Manhattan,1,0,,,2013,1113,4650000.0
Manhattan,1,0,,,2013,1135,2685000.0
Manhattan,1,0,,,2013,1139,15350000.0
Manhattan,1,0,,,2013,1140,14650000.0
